Product,Consumer Complaint
Credit reporting,"Experian allowed XXXX to pull a hard credit inquiry without my permission. This was done by the XXXX store on XXXX XXXX in XXXX, SC. The store employee who did this was XXXX. After my credit was pulled, she tried to get this reversed. I want this credit pull to be removed from my credit report immediately!"
Mortgage,"I had an FHA loan at US Bank that was paid off on XXXX XXXX 2015. On paying the loan off on the XXXX XXXX instead of XXXX XXXX I was charged {$1000.00} interest fee. I spoke to US Bank in regards to this and was informed that they were unwilling to refund the charge of {$1000.00} even though the interest charged was the EXACT same day as the loan was paid off. I feel that a {$1000.00} charge for paying off a mortgage loan 2 days into the month is, for better words, a scam."
Mortgage,"I went through a divorce several years ago and requested a home loan modification through Bank of America. Bank of America refused to get back to me on several occasions causing the process to take a year, destroying my credit in the process. Only when they got the foreclosure judgment and sent it to sheriff sale did they process it correctly and I paid on time for over a year. We decided to sell the home in 2015 and listed it for sale. After about 75 days, we received an offer and accepted. We promptly got an apartment, paid a deposit and signed a lease. We moved into the new apartment about 5 days before closing. As we were preparing for closing, it was discovered by the purchasing lender ( unknown to me ) that Bank of America had sold our overdue principal to HUD. This required us to sell our home for over {$150000.00} to break even. The house only appraised at around {$120000.00} because there have been so many foreclosures in our area. I contacted Bank of America to determine what we could do and informed them that we had a buyer if they could process the short sale immediately. They said that they would probably not be able to and "" hopefully the buyer was still around ''. They went through the same process of continually requesting updated information for months while the process dragged on. I lost my buyer and could make the mortgage payments AND the rent payment on my apartment so I continued to work through the home modification process. I contacted their lawyers several times, received a response on a few occassions. Finally, on XXXX XXXX, I received an email back from XXXX XXXX at XXXX XXXX ( Bank of America 's attorney ) saying that my loan has been "" service released '' to XXXX XXXX. I immediately called them to restart the process and was sent out a packet. I was in the process of submitting the packet and gathering all of the info they needed. My wife drove by the house and there was a sherrif sale notification on it for XX/XX/XXXX. Bank of America, who would no longer work with me and would never respond and sold it to XXXX, processed a sheriff sale. They began the sheriff sale process AFTER I was informed by their lawyers that they no longer serviced the loan! I called XXXX and they confirmed that Bank of America did complete that. 

Lastly, I logged on to the sheriff 's website to discover that BANK OF AMERICA bought it! 

I can only see this as they intentionally did this to somehow gain from the process."
Credit card,"Signed up for the American Express XXXX Card when they had the XXXX points bonus offer. Met the minimum spend of {$3000.00} in 3 months. Received the bonus on XXXX/XXXX/16 and they have taken back the XXXX point bonus on XXXX/XXXX/16, called american express customer support was not given any details as to why they have taken the bonus back only that it was a "" point adjustment '' and the representative could not tell me anything more. I have done nothing illegal or immoral using any of my amex cards and can not see why the points are being taken back."
Credit reporting,"RE : Credit Inquiries Experian Credit Report There must be another person with the same name as me. There is inaccurate credit inquiries on my credit report. I am not aware of the credit inquiries circled on the credit report attached. 

Please provide me documentation bearing my signature, so that I can validate these credit inquires. 

I am requesting the documentation from credit companies, if they fail to provide me the documentation bearing my signature, then they must delete the account from all the reporting credit bureaus. 

Please address this matter within five business days of receiving this letter."
Credit reporting,"Experian is reporting an address that is not mine. I have disputed this incorrect information on many occasions and I have not have any success getting this incorrect information remove from my credit report. The incorrect address is the XXXX XXXX XXXX, XXXX, GA address."
Debt collection,"My identity was stolen. I filed a complaint, police report, affidavit, etc. I contacted the original company, and the collection agency to resolve this debt. Both of them keep sending me to each other, and neither will help in resolving this issue. I have spoken to supervisors at each company and still get the same answer- contact the other company. I want this debt removed from my credit, as it was fraudulent. The collection agency even offered to settle for {$300.00}! I am not paying a dime to a company I never had an account with!"
Mortgage,"Select Portfolio Servicing has been deceptive and intimidating. It has been difficult for me to find my past due balance. I missed a regular monthly payment. When I attempted to make a payment to try to get caught up I could not find my past due balance. My printed statement listed a past due balance, but it did not list a payment that I had made prior to the statement being generated. My online account did not list a past due balance at all. It only told me that I had a regular monthly payment due. It also did not list any late fees or other fees of any kind. I then received a letter stating that my mortgage was now in default. This confused me even more because neither my statement or online account had any information about my loan being in default. Also, I did n't think my loan could be in default because I was approximately 30 days past due. I called SPS. When I called and entered in my account information, I was greeted by an audio recording stating that I had a regular monthly payment due. The recording made no reference to a past due balance or to my loan being in default or to any fees that may be due. I selected the option to speak with a representative. Prior to speaking with a representative I was greeted by another recording stating that I was about to speak with a "" debt collector '' and that any information given would be used in order to "" collect on a debt ''. At this point I felt SPS was deliberately trying to confuse and intimidate me. Is SPS a mortgage loan servicer or a debt collector? Is my account in default or past due? What is my past due balance? The rep I spoke with was polite, but not helpful. I did finally get my current past due balance. However, I was threatened with "" legal action '' if my account was not made current with in 6 days. I was not given an answer to why my online account does not reflect my past due balance, is my loan in default or past due, why do I have to pay {$15.00} to make an online payment, why did my interest rate go up. Furthermore, I was given unclear answers about what kind of a company SPS is ( mortgage loan servicer or debt collector ), why do they use intimidating language both in documents and over the phone, is SPS purposefully trying to confuse me. I acknowledge that I am past due on my payments, but it should not be this difficult to find my past due balance and I should not be threatened and intimidated."
Bank account or service,"I have documentation that shows that US Bank would not charge a Returned Item Fee nor an Overdraft Fee on my account ( Number XXXX ). When a withdrawal or other debit came in and there were non-sufficient funds, the payment was returned, without charging any fees, unless the resulting overdraft amount was negligible ( This occurred seven times between XX/XX/XXXX and XX/XX/XXXX on the old account as shown by notices received in the mail attached herein ). 
On XX/XX/XXXX, I opened a new account at US Bank ( XXXX XXXX ). On XX/XX/XXXX, an overdraft fee was charged, and a few days later two other payments were returned, one other was returned and more fees were added. The Bank has failed to provide satisfactorily explanation of this change in policy. At the time of opening the new account, I was not given any notice or warning that new rules would apply. The Bank keeps adding extended overdraft fees. 
In my perception, the bank should have not honored any payments that were underfunded nor charged any fees for overdraft nor returned items because US Bank created a reasonable expectation through consistent behavior upon which reliance was reasonable. The Bank should bring the account to XXXX balance at its own expense. Further, the bank should refrain form a threatened charge off or any other report that will harm my credit history."
Bank account or service,After 2 years of service with no issues Coinbase closed my account for no reason and furthermore refused to give me a reason despite dozens of request through their support channels. I first signed up with them XX/XX/2014. By forcing me to sell my bitcoin I missed out on hundreds of dollars in gains in the market and lost the ability to use my shift debit card that I paid {$20.00} for.
Student loan,"I was dropped from my income based repayment plan by FedLoan servicing in XXXX of 2016. they contacted me by email but never tried to call me, even after being delinquent for over 2 months, ( while they had my current phone number on file ). When I checked my loans myself, I found statements saying I needed to pay over XXXX dollars of standard repayments that had accrued in order to remove the delinquency ( i believe this is predatory and illegal ). Instead I contacted an Ombudsman from the XXXX. She instructed me to declare forbearance ( which Fedloan services did not tell me was an option. FedLoan services told me I had to pay the full 2 months payments on a standard repayment plan I was now on, and continue to pay that amount until a new IBR payment plan was processed. this sounded fraudulent so I contacted a XXXX ombudsman. 

After the Ombudsman talked with the student loan company, both parties ( lender and ombudsman ) told me on XXXX XXXX that I would be entered into forbearance and a new loan document asking me to pay a nominal {$5.00} fee would be sent to me. After this fee is payed, I was told I would enter my repayment plan. I was assured my application was in their system and being processed, and Fedloan services person even confirmed they had my income verification documents showing I made around {$16000.00}, and would pay XXXX on an IBR plan. All I had to do was pay a {$5.00} fee to place the loan back on the payment plan. They said I should allow 3 weeks for them to "" process '' my plan, even though they literally had every piece of information in front of them. 

On XXXX XXXX I received a letter informing me they were missing documentation of my income, which makes no sense, because the woman over the phone was able to tell me my income 4 days earlier. when I called Fedloan services they tell me I need to fill out a paper application for the IBR plan, and submit paper copies of my income verification which directly contradicts everything they told the ombudsman, and everything it says on both their website and XXXX. why do they even have an app with income verification tools if you need to send a paper application as well? 

I believe this company removed me from my plan in the first place in order to threaten me with fraudulent back payments. since early XXXX I have been trying to have my IBR plan processed, which is supposed to take less than 2 weeks and it is taking over 2 months. I have had to reapply for the IBR XXXX separate times now in 2 months, and have gone onto forbearence twice and Fedloan services has instructed me at every turn to fill out another form or send something in, or wait 3 weeks for somethings to be processed. 

This entire time I have been living on an income of less than {$900.00} per month, working part time, and I can prove all of this. So I am well below the threshold for an IBR plan, and they even told me over the phone that I was eligible for {$0.00} payments. there is no excuse for them to be dragging their feet except to force me out of the IBR plan and into a plan where they can collect more money for not processing my information. 

I am still actively trying to pursue this matter with the ombudsman and Fedloan services, but I want to enter a formal complaint with the CFPB, as the behavior of my loan servicer has been dishonest and ( purposely! ) confusing, slow and incompetent to throw people like me into default so they can make more money off of fees."
Bank account or service,"This complaint is regarding Wells Fargo. XX/XX/XXXX I refinanced my home mortgage taking cash out to make home repairs, pay off an auto loan and pay off an installment loan with Wells Fargo. On XXXX/XXXX/16 I made the final payment on the installment loan at a local Wells Fargo branch. This check included a slight overpayment. The payment on the loan, final accrued interest and overpayment were all processed on XXXX/XXXX/16. On XXXX/XXXX/16 Wells Fargo reversed the entire amount paid on XXXX/XXXX/16 telling me the loan payoff was coded incorrectly. The representative on the phone told me on XXXX/XXXX/16 the loan payment was being reprocessed and should be back dated to the actual payment date. In the meantime, Wells Fargo is telling me the same installment loan is past due and put a {$39.00} late charge on the account. On XXXX/XXXX/16 I called customer service to find out why the reprocessing of the loan payoff still had not gone through. I was told it was still in process. On Saturday, XXXX/XXXX/16 I went to the local branch where the original payment was made back on XXXX/XXXX/16. The personal banker called on this same installment loan and was told the payment was not made correctly. And that Wells Fargo is reprocessing the payment. This personal banker in the branch said everything was applied correctly on her end, so she felt this should be resolved and soon. Today, XXXX/XXXX/16 I contacted Wells Fargo customer service via phone again and was informed the bank check from the title company was returned for insufficient funds twice. We contacted the title company who confirmed verbally the check for the loan cleared their bank on XXXX/XXXX/16. Account numbers and check numbers were confirmed. Payments were due on this installment loan on the XXXX of each month. The loan is now XXXX days past due according to Wells Fargo. Yet I have a receipt with a transaction number proving I paid the loan IN FULL on XXXX/XXXX/16. This loan pay off was rolled into my current mortgage with Wells Fargo. So I feel they are trying to collect on the same debt twice and/or lost {$6800.00}! I keep getting told by Wells Fargo "" we need to research this '' but no one can seem to get this resolved."
Consumer Loan,"I received dental procedures and the office manager explained how much it would cost and advised that my insurance would pay for the majority of the procedure given. I only received a XXXX and a XXXX, which cost almost {$10000.00}. It was my understanding that I only needed additional money to complete additional XXXX services, therefore, I was advised to sign up for Care Credit. I really did n't understand the way it was explained to me and the office manager called my mother over the phone to co-sign. The way it was explained was too complicated and not easily understood by me or my mother. I thought that the Care Credit would only be used for future XXXX services, but come to find out that not only was all of my health insurance benefits used, but also the full balance of the Care Credit card. Now, my mother and I have a judgment on our credit for the full balance of the Care Credit card, because I could not afford the payments and I was sued. I did n't understand how much the payments would be, nor the total amount that would be used. The office manager never gave me a copy of the documents either."
Credit reporting,I wrote Equifax over 6 weeks ago. They have not responded to my request for an investigation.
Mortgage,"I got recent modification ( XXXX/XXXX/2015 ) for my mortgage from OCWEN SERVICES for my house located at XXXX XXXX XXXX, XXXX, Tx. XXXX. OCWEN are adding something to the principal and I think is too much money added. Can you please help me to clarify with them what kind charges in addition to this mortgage loan. 

Thanks XXXX XXXX"
Credit reporting,I received a inquiry alert from Experian on XXXX/XXXX/2017 in regards to XXXX inquiring and accessing my Experian credit report. The inquiry from XXXX is an authorized and fraudulent inquiry. It do n't belong to me.
Mortgage,"I was late on my mortgage payments and decided to sell my property, however I have a XXXX tax lien hold that I have been trying to clear form IRS as a lien hold on my house, NOW that I have finally fixed the issue and have a buyer that will buy my house AS IS, the lender Wells Fargo is NOT being cooperative and taking too long for the process plus they have put me in FORECLOSURE status and NOT willing to extend my DUE date of XXXX XXXX 2016 ... On top of HOLIDAYS!!"
Mortgage,Requested a payoff quote by fax and certified mail over 30 days ago. Will not provide.
Mortgage,"SENECA MORTGAGE SERVICING XXXX XXXX XXXX XXXX, NY XXXX REQUEST : SENECA TO STOP COLLECTING PMI, AND REFUND ALL PAID PMI Our mortgage loan from XXXX was transfered to XXXX XXXX XXXX XXXX ( XXXX ), on XXXX XXXX. 
XXXX XXXX XXXX XXXX ( XXXX ) according the PROMISSORY NOTE reduced all ESCROW COLLECTIONS FROM {$200.00} to {$87.00}, for period until XXXX XXXX, and ELIMINATED Private Mortgage Insurance ( PMI ). An ANNUAL ESCROW ACCOUNT DISCLOSURE STATEMENT was sent to us, from XXXX on XXXX/XXXX/XXXX, with effective XXXX/XXXX/XXXX, and monthly payment {$940.00}. Shortly thereafter, XXXX transferred servicing right to SENECA MORTGAGE SERVICING LLC. 
On XXXX XXXX SENECA confirmed this transfer, and WROTE THAT NOTHING WOULD BE CHANGE IN OUR LOAN. We paid monthly {$940.00} monthly to SENECA ( look Mortgage Statement from XXXX XXXX ). 
But, later began to send letters for payment, and without any reason ADDED PMI, AGAINST THE PROMISSORY NOTES, INCREASED EVERY FOUR MONTHS, OUR MONTHLY PAYMENT, ANY OUR REMARK OR REQUEST TO STOP INCREASING THE MONTHLY PAYMENT, SENECA IGNORED! 
PMI is not INCLUDED in PROMISSORY NOTE, and SENECA HAS NOT RIGHT TO TAKE THIS. 
In the letter from XXXX, from XXXX XXXX is this explaned, also! 
WE ARE ENTITLED TO A REFUND OF ALL PMI PAID! 
IF SENECA AGAIN IGNORED TO SATISFIED OUR REQUEST, THIS CASE WOULD BE ACCORDING ARIZONA DEPARTMENT OF FINANCIAL INSTITUTION, SUBJECT TO THE COURT! 

******** AFTER THIS LETTER, WE CONTACTED XXXX XXXX, AS LOAN GIVER-INVESTOR TO HELP US, BUT XXXX XXXX NEVER GOT ANY ANSWER FROM SENECA. 
We pressed SENECA, TO STOP INCREASING OF OUR MONTHLY PAYMENT, XXXX ASKED TO RETURN ALL IRREGULAR TAKEN MONEY FOR ADDED PMI IN OUR LOAN, BUT WE NEVER GOT ANSWER FROM THEM. 
ON XXXX, we got the letter from SENECA , THAT SENECA SOLD-TRANSFERED OUR LOAN TO "" XXXX '' MORTGAGE LLC. ( look letter from XXXX/XXXX/XXXX ). Probably to avoid following consequences! 
We contacted XXXX XXXX in XXXX, XXXX and XXXX many times but they could not do anything. 
In between, XXXX asked for payment the loan, and never want to TALK WITH US. WE WANTED NO TO BE LATE WITH OUR PAYMENT AND SENT PAYMENTS, FOR THESE MONTHS, to "" XXXX XXXX ''. WE ARE NEVER IN ANY DEPTH AND NEVER LATE WITH OUR PAYMENT. 
iN FACT, SENECA TOOK MORE MONEY FROM US, ADDED PMI, since XXXX XXXX to XXXX XXXX. We need this money back, and all reduction in our loan."
Debt collection,"The first communication that I received from the debt collector was a court summons delivered to my mother in laws home. I received the summons in hand a week later from her. The summons stated that i alledgedly owed money to the debt collector. There was no advisement that I had the right to dispute the debt and that I had 30 days to demand that the debt collector validate the debt. I then attempted to demand validation of the debt after doing online research. i sent a certified letter 9 days ago on XXXX XXXX, 2016. The post office told me today, XXXX XXXX, 2016 at approximately XXXX XXXX that the certified letter had been attempted to be delivered on XXXX XXXX, 2016 ( 2 days after I mailed it ) but was not accepted by the debt collector. So as of today, XXXX XXXX, 2016 I am withoyut knowledge or information sufficient to form an opinion as to the truth and accuracy of the claim and based on that i deny generally and specifically the claim of debt to this collector."
Mortgage,"We are in a hardship and received a letter regarding bringing our account current by XXXX XXXX, 2015 to avoid foreclosure proceedings. When I called on XXXX XXXX, 2015 XXXX to make the payment to bring the account completely current per Citi 's letter, I first spoke with XXXX. He transferred me to XXXX and at approximately XXXX, I was told "" it did n't matter '' and that "" I was in "" their '' department now. '' I could make payments, but it would n't mean anything. XXXX was extremely rude and condescending. I asked to talk to a manager and she said "" MANAGERS DO N'T TAKE CALLS ''. She kept condescendingly saying we had n't made any payments. We have. I told her this and she said "" well it was n't enough and you 're in our department now. '' When I asked why they were not honoring what they had sent IN WRITING to resolve the delinquency she said "" their department '' did n't write it, she did n't know who did, THAT LETTER MEANS NOTHING and just kept repeating herself."
Credit reporting,"XXXX has wrongfully placed an account in collections. XXXX has indicated that I owed {$1700.00} for water bills at XXXX. This is absolutely false. All of the bills were in good standing upon leaving. This company bulldogged and bullied me into leaving the property. They initiated an eviction on me when all of the rents were paid on time. Elite home management has placed this account in collection with National Credit Systems. I would like this account removed from collections immediately. Attached is full documentation that this account was paid in full. Additionally, XXXX kept my deposit. I would like to request my deposit be returned as I left the property in good standing and was NEVER late paying monthly rent. Please see all attached documentation. Furthermore, the claim that XXXX is stating I owe monies for a water bill is false. The amount started in XXXX of 2012. The account was never placed in my name and started with a balance of over {$700.00}! XXXX presented false documents to the court in order to have me evicted from the property. I 'm requesting that this is immediately removed from my credit report and handled outside of a credit reporting agency as these claims are false!"
Credit reporting,"I am unable to obtain my free Equifax credit report or score at all online. Equifax will not provide the report and I have no score data from them either. When I request my free credit report at XXXX, a message says that Equifax is unable to provide it and that I must send in documentation to prove my right to see my report. They want multiple hardcopies of personal identity documents in order to release my credit report."
Credit reporting,"I had hired XXXX after many attempts requesting loan information from a home equity loan from XXXX XXXX. After XXXX XXXX federal XXXX failed to respond and provide requested information. XXXX and XXXX removed account completely. Experien after disputing did not find anything wrong, I resubmitted dispute and they are now investing by contacting furnisher. XXXX XXXX has also reported illegal update stating this account was an open revolving line of credit. Which recently interferred with first savings denial on my home refinance application. They had asked if I intend to pay off XXXX XXXX. After they illegally closed my home at sheriff sale they continue to abuse me by punishing my credit history which controls my way of living. XXXX XXXX real estate XXXX XXXX has recently said they do not like me therefore they did not sell my home to my brother. Which I had rights as home owner to simply transfer title from very beginning."
